name,city,province,latitude,longitude,categories,primaryCategories,review_count,avg_rating
"Country Inn & Suites By Carlson, Ames, IA",Ames,IA,42.00878,-93.57829,"Hotel,Hotels and motels,Hotel and motel reservations,Family-Friendly Hotels,Hotels & Motels,Budget Hotels",Accommodation & Food Services,3,4.666666666666667
Lofts on Pearl,Buffalo,NY,42.8815,-78.8773,"Hotel,Hotels,Motels,Hotel Central Business District",Accommodation & Food Services,2,4.5
Econo Lodge South,Petoskey,MI,45.350616,-84.967575,"Hotel,Hotels and motels,Hotel and motel reservations,Hotels Motels,Lodging,Budget Hotels,Corporate Lodging,Hotels,Motels",Accommodation & Food Services,1,1.0
The Armstrong Hotel,Fort Collins,CO,40.58451,-105.07762,"Hotels,Lodging,Hotels and motels,Hotel",Accommodation & Food Services,4,4.75
Best Western Gardens Hotel At Joshua Tree National Park,Twentynine Palms,CA,34.1347,-116.1031,"Hotel,Hotels Motels",Accommodation & Food Services,5,4.6
Barn Motor Inn,Prosser,WA,46.21565,-119.78738,"Hotels,Hotel",Accommodation & Food Services,3,2.0
Friday Harbor Suites,Friday Harbor,WA,48.53222,-123.0237,"Hotels,Lodging,Corporate Lodging,Hotels-Apartment,Resorts,Motels,Hotel",Accommodation & Food Services,1,5.0
Regency Inn Suites,Pittsburg,KS,37.44348,-94.70742,"Motels,Lodging,Hotels,Hotels and motels,Hotel",Accommodation & Food Services,1,5.0
Best Western Plus Stevens County Inn,Hugoton,KS,37.168224,-101.33462,"Hotels,Lodging,Hotel",Accommodation & Food Services,1,5.0
Circle B Motor Lodge,Benkelman,NE,40.09805,-101.534355,"Resorts,Motels,Lodging,Hotel,Hotels",Accommodation & Food Services,1,1.0
Hampton Inn Suites Sioux City/South,Sioux City,IA,42.44682,-96.33576,"Hotel,Hotels,Lodging,Corporate Lodging",Accommodation & Food Services,1,5.0
Hilltop Motel,International Falls,MN,48.58393,-93.39711,"Motels,Lodging,Hotels,Hotels Motels,Hotel,Hotels & Motels",Accommodation & Food Services,2,4.0
Days Inn Moose Lake,Moose Lake,MN,46.43463,-92.74935,"Lodging,Hotels,Motels,Hotels and motels,Hotels Motels,Hotel",Accommodation & Food Services,2,4.0
Grant House Hotel Eatery,Rush City,MN,45.68442,-92.96185,"Hotels,Lodging,Motels,Restaurants,Restaurant,Hotel",Accommodation & Food Services,1,5.0
Super 8 St Cloud,Saint Cloud,MN,45.55158,-94.20826,"Lodging,Motels,Hotels Motels,Hotel",Accommodation & Food Services,1,1.0
